100 510
0 2 27
0 5 16
0 14 19
0 19 48
0 38 24
0 45 14
0 64 25
0 77 19
0 96 12
0 98 33
0 1 31
0 3 32
0 4 22
0 6 11
0 8 47
0 11 14
0 18 27
0 24 17
1 16 40
1 17 23
1 28 13
1 37 44
1 42 24
1 79 49
1 80 23
1 83 30
1 95 16
2 17 44
2 21 30
2 25 30
2 33 19
2 34 11
2 46 41
2 65 35
2 67 39
2 72 48
2 77 42
2 78 22
2 91 30
2 96 42
3 7 48
3 27 29
3 46 33
3 57 37
3 58 19
3 64 15
3 71 47
3 78 30
3 84 35
3 88 21
3 89 29
4 20 37
4 55 22
4 57 34
4 81 12
4 86 26
4 90 38
4 97 31
5 25 46
5 29 14
5 38 14
5 39 26
5 46 42
5 50 45
5 54 42
5 92 49
6 7 13
6 10 10
6 12 14
6 13 32
6 21 15
6 26 26
6 50 25
6 52 22
6 63 12
6 67 24
6 84 34
6 89 15
6 97 10
7 10 47
7 13 42
7 15 16
7 25 21
7 28 10
7 63 11
7 67 13
7 72 38
7 75 19
7 81 27
8 9 10
8 20 38
8 23 12
8 39 28
8 64 42
8 91 12
9 13 26
9 16 14
9 29 48
9 38 15
9 56 27
9 59 43
9 75 13
9 89 41
9 97 17
9 99 24
10 36 35
10 45 45
10 65 17
11 15 10
11 19 18
11 34 15
11 39 41
11 58 20
11 65 33
11 68 23
11 72 31
11 84 22
11 90 40
11 92 20
11 99 29
12 16 27
12 19 18
12 25 33
12 43 10
12 50 12
12 54 46
12 56 46
12 74 31
12 83 34
12 91 29
13 21 32
13 45 36
13 46 22
13 89 45
13 90 29
13 92 26
13 96 46
13 99 20
14 20 33
14 28 33
14 29 39
14 36 28
14 42 47
14 57 20
14 69 31
14 72 22
15 32 39
15 36 39
15 52 16
15 54 31
15 62 23
15 64 42
16 19 45
16 25 34
16 53 10
16 93 12
16 97 43
16 98 14
17 37 28
17 43 42
17 48 38
17 74 25
17 87 15
18 22 25
18 29 18
18 31 45
18 58 40
18 96 32
19 21 12
19 50 39
19 61 17
19 72 27
19 99 38
20 23 49
20 28 12
20 30 12
20 34 39
20 49 45
20 50 12
20 53 23
20 62 46
20 64 42
20 82 26
20 85 23
20 92 33
21 31 19
21 51 19
21 67 33
21 74 16
21 77 22
22 29 46
22 30 29
22 64 45
22 67 38
22 72 35
22 92 40
23 33 22
23 54 48
23 57 33
23 62 28
23 63 30
23 67 26
23 73 31
23 76 39
23 82 17
23 93 25
24 25 11
24 28 14
24 44 12
24 51 12
24 67 30
24 72 17
25 31 22
25 48 41
25 51 21
25 61 21
25 81 33
25 89 11
25 90 12
25 95 25
25 98 43
26 29 16
26 31 40
26 36 37
26 63 29
26 67 28
26 69 31
26 70 11
26 71 30
26 74 48
26 75 49
26 81 44
26 92 35
26 95 35
27 30 19
27 46 13
27 51 46
27 55 13
27 72 22
27 73 11
27 77 28
27 79 30
27 85 46
27 97 17
28 32 31
28 35 20
28 40 38
28 46 46
28 70 49
28 80 25
28 87 31
29 41 23
29 66 14
29 76 31
29 93 13
29 95 11
30 51 12
30 58 36
30 60 10
30 66 30
30 67 46
30 68 42
30 82 10
30 91 37
30 98 22
31 39 49
31 60 35
31 67 21
31 79 31
31 80 33
31 84 21
31 96 26
31 97 46
32 33 17
32 42 17
32 43 39
32 61 10
32 87 24
32 93 43
33 37 39
33 44 14
33 58 10
33 63 46
33 79 40
33 80 18
33 84 41
33 91 31
33 94 18
33 96 36
34 37 39
34 38 47
34 39 31
34 46 47
34 52 12
34 54 39
34 55 34
34 63 13
34 67 14
34 80 49
34 88 38
35 49 33
35 66 28
35 75 14
35 81 29
35 89 30
36 37 49
36 51 48
36 62 18
36 76 32
36 78 27
36 91 45
36 93 34
36 95 40
37 49 42
37 57 48
37 60 43
37 65 48
37 69 22
37 77 44
37 86 10
37 88 46
37 90 10
38 44 22
38 45 27
38 46 42
38 58 22
38 61 35
38 70 29
38 87 38
38 91 41
39 63 44
39 72 38
39 85 11
40 45 20
40 48 39
40 64 22
40 67 47
40 88 23
41 44 14
41 73 46
41 95 20
41 97 48
42 63 10
42 65 32
42 69 43
42 99 34
43 53 10
43 74 25
43 86 14
43 87 10
43 97 23
44 47 42
