1000 25110
0 19 560
0 32 588
0 44 705
0 59 645
0 86 130
0 124 450
0 161 494
0 186 950
0 210 848
0 211 584
0 246 153
0 275 200
0 279 440
0 299 856
0 302 616
0 311 589
0 375 574
0 405 850
0 442 943
0 452 203
0 489 244
0 496 209
0 508 672
0 518 801
0 532 431
0 548 684
0 550 404
0 571 668
0 576 129
0 621 246
0 633 886
0 644 819
0 682 513
0 684 636
0 702 114
0 722 353
0 729 295
0 761 217
0 775 901
0 793 717
0 815 700
0 817 978
0 826 895
0 841 487
0 850 270
0 853 209
0 895 864
0 915 227
0 922 328
0 944 374
0 995 227
0 1 664
0 2 129
0 3 671
0 5 339
0 6 894
0 7 577
0 8 554
0 9 177
0 10 599
0 14 861
0 18 444
0 25 591
0 28 305
0 36 704
0 37 400
0 38 544
1 4 494
1 11 622
1 27 895
1 31 230
1 44 134
1 119 838
1 153 868
1 223 741
1 235 793
1 242 381
1 261 920
1 270 617
1 277 887
1 281 906
1 309 197
1 376 286
1 377 755
1 378 724
1 415 339
1 439 725
1 501 644
1 506 148
1 508 551
1 557 550
1 573 246
1 592 625
1 603 116
1 646 105
1 670 665
1 672 674
1 692 539
1 744 490
1 786 567
1 792 786
1 906 634
1 915 138
1 954 683
1 996 190
2 4 834
2 30 142
2 51 377
2 158 160
2 173 765
2 178 751
2 202 646
2 209 228
2 278 149
2 297 378
2 300 389
2 391 139
2 417 113
2 460 207
2 462 450
2 482 604
2 483 926
2 487 959
2 517 776
2 549 532
2 553 767
2 599 679
2 622 568
2 630 988
2 633 432
2 636 210
2 707 727
2 722 506
2 745 701
2 774 520
2 776 452
2 778 664
2 780 905
2 802 314
2 819 454
2 832 567
2 848 850
2 849 416
2 879 788
2 886 302
2 948 438
2 964 423
2 978 628
3 16 362
3 24 986
3 48 796
3 120 307
3 123 477
3 138 602
3 160 534
3 195 205
3 202 262
3 214 248
3 236 187
3 272 935
3 296 897
3 322 775
3 334 518
3 340 682
3 347 721
3 364 161
3 377 361
3 385 916
3 402 260
3 412 794
3 426 797
3 445 443
3 472 105
3 532 500
3 541 118
3 554 295
3 593 132
3 696 900
3 708 251
3 734 150
3 757 761
3 759 119
3 816 151
3 827 878
3 853 777
3 880 985
3 909 887
3 919 839
3 922 384
3 963 289
3 968 650
3 973 258
3 977 755
3 979 411
4 21 456
4 39 358
4 58 399
4 67 894
4 70 978
4 136 422
4 181 386
4 187 146
4 198 541
4 230 726
4 254 912
4 262 584
4 279 926
4 280 323
4 291 861
4 309 100
4 312 624
4 319 871
4 320 701
4 371 732
4 382 957
4 396 376
4 397 590
4 404 224
4 456 735
4 481 534
4 485 481
4 507 658
4 517 541
4 526 688
4 594 859
4 605 203
4 645 944
4 703 310
4 709 988
4 722 182
4 752 763
4 753 240
4 772 647
4 825 579
4 852 588
4 861 252
4 871 236
4 873 867
4 900 211
4 929 346
4 947 523
4 953 811
4 976 152
4 991 911
4 997 447
5 16 249
5 30 735
5 32 692
5 33 568
5 43 328
5 47 646
5 90 924
5 99 214
5 148 599
5 151 833
5 157 266
5 189 649
5 200 929
5 219 460
5 226 634
5 232 839
5 234 860
5 246 576
5 264 388
5 295 408
5 329 792
5 353 340
5 356 330
5 365 294
5 377 997
5 379 143
5 404 456
5 418 443
5 420 754
5 431 827
5 493 205
5 496 938
5 553 579
5 585 655
5 591 485
5 673 344
5 702 228
5 722 354
5 741 260
5 748 721
5 753 210
5 765 285
5 773 656
5 791 115
5 793 655
5 803 489
5 827 431
5 862 762
5 868 322
5 902 919
5 971 997
5 982 942
5 986 306
5 990 809
5 994 288
6 35 712
6 54 836
6 56 918
6 98 778
6 108 348
6 118 823
6 127 596
6 165 188
6 183 433
6 184 751
6 225 265
6 288 292
6 301 587
6 345 622
6 391 348
6 432 318
6 456 951
6 464 672
6 476 236
6 482 926
6 501 645
6 506 941
6 522 774
6 544 347
6 578 706
6 583 237
6 598 174
6 600 407
6 639 767
6 655 506
6 697 214
6 708 999
6 717 792
6 734 626
6 741 402
6 754 165
6 764 908
6 773 184
6 781 718
6 808 116
6 820 214
6 845 891
6 859 293
6 872 386
6 932 961
6 942 710
6 958 140
6 975 996
6 996 108
7 15 557
7 17 827
7 94 136
7 108 436
7 112 757
7 115 790
7 149 400
7 183 807
7 190 608
7 279 523
7 329 626
7 335 668
7 351 277
7 359 340
7 372 979
7 381 544
7 402 277
7 454 569
7 459 872
7 501 242
7 530 419
7 558 111
7 572 539
7 593 291
7 594 652
7 619 990
7 641 768
7 658 725
7 661 644
7 664 975
7 673 742
7 701 590
7 703 539
7 779 144
7 812 173
7 816 680
7 821 176
7 826 192
7 827 667
7 853 978
7 893 235
7 895 583
7 927 174
7 938 684
7 940 318
7 942 504
7 960 507
7 979 535
8 12 829
8 102 329
8 122 450
8 127 148
8 136 712
8 145 635
8 146 488
8 169 259
8 176 807
8 221 896
8 256 872
8 281 527
8 291 564
8 312 581
8 339 532
8 340 970
8 357 259
8 390 457
8 435 769
8 456 861
8 462 110
8 524 377
8 540 956
8 592 917
8 606 761
8 616 890
8 638 342
8 679 472
8 712 192
8 753 403
8 785 523
8 818 776
8 826 965
8 844 588
8 863 337
8 923 314
8 973 972
8 979 785
8 980 540
8 986 211
9 58 348
9 65 968
9 79 892
9 100 745
9 115 606
9 160 886
9 173 831
9 184 606
9 187 521
9 196 223
9 205 585
9 223 409
9 253 416
9 263 635
9 274 953
9 289 533
9 316 816
9 318 947
9 345 842
9 356 254
9 370 905
9 383 295
9 387 138
9 395 265
9 408 905
9 419 686
9 464 848
9 472 867
9 496 113
9 506 889
9 571 989
9 581 688
9 608 475
9 623 904
9 644 535
9 647 971
9 661 372
9 691 872
9 694 171
9 705 261
9 725 808
9 745 600
9 776 205
9 806 186
9 847 159
9 852 835
9 907 324
9 941 557
9 950 648
9 968 329
9 976 453
9 979 941
10 40 597
10 55 624
10 68 415
10 69 451
10 89 860
10 110 894
10 140 215
10 207 648
10 247 373
10 275 770
10 298 983
10 308 953
10 325 997
10 335 440
10 341 789
10 355 838
10 391 859
10 393 848
10 427 231
10 455 642
10 500 734
10 511 690
10 592 472
10 594 721
10 637 668
10 679 445
10 717 507
10 819 199
10 820 212
10 829 555
10 835 125
10 860 895
10 875 223
10 890 947
10 948 325
10 953 630
10 958 993
10 979 287
11 13 880
11 85 182
11 87 776
11 159 208
11 178 665
11 179 961
11 203 981
11 218 101
11 227 432
11 230 269
11 251 112
11 261 597
11 266 242
11 323 388
11 324 796
11 341 112
11 358 710
11 391 994
11 414 394
11 458 825
11 470 855
11 485 612
11 492 574
11 523 480
11 526 220
11 558 459
11 602 460
11 624 638
11 651 864
11 676 597
11 686 681
11 694 259
11 718 926
11 752 136
11 792 604
11 805 829
11 823 885
11 854 409
11 887 621
11 916 330
11 965 762
11 989 258
12 21 260
12 22 480
12 64 447
12 78 112
12 105 609
12 140 565
12 148 248
12 201 231
12 260 503
12 283 567
12 300 233
12 312 230
12 389 793
12 402 819
12 422 229
12 569 559
12 572 294
12 627 848
12 637 593
12 642 196
12 658 560
12 675 217
12 708 604
12 787 141
12 798 191
12 879 327
12 894 744
12 904 159
12 932 960
12 948 565
12 952 493
12 957 230
12 958 668
13 47 148
13 127 202
13 154 391
13 217 613
13 228 222
13 232 313
13 236 503
13 246 314
13 250 398
13 252 806
13 279 266
13 305 643
13 338 783
13 344 218
13 346 417
13 379 609
13 390 378
13 415 478
13 417 414
13 461 421
13 468 398
13 474 342
13 494 620
13 525 713
13 574 588
13 588 481
13 611 384
13 628 223
13 647 705
13 649 305
13 677 652
13 696 295
13 697 314
13 700 862
13 728 799
13 738 545
13 761 941
13 763 707
13 764 326
13 784 332
13 785 259
13 800 761
13 838 459
13 846 529
13 875 888
13 880 924
13 882 965
13 883 461
13 931 445
13 957 124
13 976 397
13 988 772
13 992 972
13 995 548
14 26 151
14 29 165
14 79 637
14 83 789
14 84 444
14 116 386
14 145 333
14 165 331
14 201 346
14 234 632
14 244 776
14 283 963
14 296 696
14 318 491
14 336 477
14 351 945
14 356 286
14 386 933
14 402 754
14 435 570
14 456 147
14 457 412
14 465 318
14 472 552
14 502 729
14 511 444
14 523 783
14 525 629
14 544 165
14 564 411
14 581 981
14 587 384
14 599 738
14 641 788
14 702 796
14 740 716
14 762 641
14 808 840
14 809 757
14 871 263
14 880 323
14 884 516
14 887 888
14 938 515
14 943 321
14 965 820
14 969 706
14 994 200
14 999 673
15 17 357
15 42 564
15 55 709
15 73 792
15 91 783
15 100 587
15 150 243
15 159 634
15 161 240
15 196 120
15 204 279
15 208 189
15 222 944
15 264 384
15 331 442
15 344 571
15 346 503
15 388 499
15 438 251
15 443 287
15 457 682
15 466 227
15 494 457
15 507 868
15 511 348
15 555 875
15 583 654
15 644 236
15 645 476
15 659 598
15 675 941
15 718 461
15 724 706
15 728 519
15 731 903
15 764 805
15 774 517
15 787 369
15 819 389
15 820 228
15 833 701
15 837 808
15 843 400
15 851 191
16 74 622
16 83 290
16 100 173
16 108 346
16 114 207
16 138 511
16 182 227
16 218 583
16 223 435
16 225 680
16 266 897
16 289 430
16 340 596
16 341 783
16 351 443
16 390 951
16 457 930
16 469 896
16 473 730
16 499 907
16 502 660
16 542 570
16 557 349
16 568 892
16 572 966
16 573 369
16 580 166
16 598 533
16 636 605
16 637 410
16 726 760
16 732 138
16 734 354
16 736 929
16 767 377
16 791 256
16 797 871
16 798 488
16 869 227
16 870 672
16 943 348
16 948 775
16 977 746
17 50 727
17 63 434
17 68 489
17 75 260
17 107 518
17 109 835
17 146 729
17 149 908
17 243 831
17 277 779
17 288 459
17 295 455
17 301 866
17 383 387
17 387 164
17 394 577
17 397 838
17 400 680
