50 241
0 1 7
0 2 17
0 3 8
0 7 11
0 22 14
0 25 15
0 29 9
0 31 17
0 35 14
0 17 18
1 6 15
1 10 6
1 11 10
1 12 19
1 24 18
1 28 6
2 5 12
2 7 11
2 13 9
2 15 13
2 30 17
2 34 14
2 36 14
2 39 18
2 40 13
2 43 9
2 49 16
3 4 5
3 9 15
3 13 8
3 14 18
3 25 18
3 36 9
3 46 5
3 48 18
4 5 15
4 6 9
4 10 14
4 12 14
4 15 6
4 19 10
4 20 17
4 27 8
4 34 8
4 44 5
4 49 15
5 9 14
5 10 9
5 18 14
5 19 12
5 20 18
5 24 7
5 25 16
5 34 9
5 35 10
5 37 17
5 38 17
5 39 8
5 47 16
6 8 13
6 9 17
6 11 18
6 26 17
6 31 9
6 49 12
7 10 6
7 18 13
7 21 6
7 22 11
7 27 7
7 32 11
7 35 14
7 38 8
8 11 11
8 21 8
8 34 8
9 19 13
9 20 5
9 23 7
9 29 8
9 31 9
9 43 15
9 47 18
9 48 11
10 13 16
10 14 5
10 18 18
10 21 10
10 36 6
11 13 7
11 16 13
11 18 19
11 19 19
11 21 8
11 27 16
11 34 18
11 38 17
12 22 12
12 23 5
12 27 11
12 28 18
12 29 13
12 33 13
12 35 17
12 36 14
12 40 13
13 22 18
13 28 8
13 41 19
13 42 10
13 46 7
13 48 15
14 21 16
14 22 17
14 24 11
14 30 15
14 34 14
14 35 11
14 36 8
14 39 13
14 44 17
14 49 16
15 26 15
15 28 5
15 31 15
15 33 18
15 34 6
15 39 6
15 41 12
15 43 8
15 45 12
15 47 11
16 21 11
16 23 14
16 33 8
16 45 11
16 47 8
17 23 8
17 27 15
17 29 12
17 33 6
17 36 6
17 46 18
18 21 7
18 29 18
18 37 16
18 43 16
18 47 18
18 48 19
19 20 12
19 22 12
19 24 11
19 27 17
19 28 5
19 36 6
19 39 13
19 40 14
19 44 19
20 29 11
20 31 8
20 37 11
20 49 5
21 28 16
21 30 11
21 38 9
21 43 6
22 23 9
22 27 9
23 29 12
23 40 5
23 49 18
24 26 14
24 28 10
24 29 13
24 36 17
24 37 12
24 38 15
24 40 6
24 42 19
24 43 13
24 46 11
25 36 10
25 42 5
25 44 6
26 31 7
26 35 8
26 41 17
26 44 18
27 28 13
27 31 6
27 33 6
27 42 13
27 44 14
27 46 9
27 48 12
28 30 10
28 31 5
28 32 10
28 37 13
28 41 19
28 43 18
28 46 9
28 47 7
28 48 9
29 36 17
29 37 5
29 41 13
30 49 9
31 37 13
31 40 15
31 49 9
32 39 5
32 43 11
32 44 8
32 46 13
33 40 17
33 43 17
34 38 7
34 49 8
35 37 9
35 41 12
35 43 17
35 47 11
36 43 16
37 41 11
37 44 7
38 43 10
38 46 17
38 49 19
39 49 12
40 49 16
41 43 15
42 47 16
42 48 10
43 49 10
44 46 18
44 47 8
45 47 13
46 49 15
47 49 14
48 49 6
