50 222
0 4 16
0 6 12
0 8 11
0 10 28
0 13 20
0 15 19
0 18 12
0 19 26
0 30 34
0 33 17
0 37 34
0 38 34
0 46 33
0 1 36
0 2 13
0 3 10
0 5 14
1 4 20
1 24 11
1 31 30
1 36 33
1 39 21
2 14 31
2 18 30
2 22 12
2 24 26
2 30 30
2 33 18
2 41 26
3 7 26
3 10 33
3 13 19
3 17 21
3 26 34
3 27 35
3 28 21
3 36 36
3 40 17
3 42 12
4 6 32
4 7 38
4 26 16
4 27 12
4 33 29
4 42 31
5 8 24
5 9 16
5 11 24
5 12 37
5 14 10
5 15 12
5 27 18
5 30 22
5 44 19
5 45 28
6 16 34
6 20 11
6 25 25
6 37 10
6 38 11
6 40 16
6 41 11
6 43 19
6 48 32
7 9 19
7 26 34
7 39 24
7 48 38
8 16 19
8 20 13
8 21 17
8 40 18
8 43 28
8 46 10
8 47 15
9 11 33
9 13 27
9 17 20
9 38 28
10 21 31
10 35 20
10 36 32
10 39 18
10 41 20
10 42 18
10 44 26
10 48 18
11 12 26
11 20 37
11 23 39
11 28 34
11 29 25
11 46 18
12 18 27
12 20 26
12 30 34
12 33 13
12 38 36
12 42 19
13 15 36
13 17 12
13 22 14
13 23 38
13 25 20
13 41 34
14 29 10
14 33 35
14 36 17
14 39 38
14 43 34
14 46 33
15 26 29
15 38 39
15 46 38
16 19 19
16 20 24
16 26 17
16 30 34
16 34 14
16 35 13
16 38 13
16 46 37
17 18 27
17 21 17
17 27 37
17 30 37
17 37 24
17 39 28
18 22 36
18 25 31
18 26 31
18 30 24
18 38 21
18 42 37
18 43 27
18 49 21
19 25 21
19 28 22
19 33 20
19 35 11
19 36 33
19 44 30
19 46 13
20 29 25
20 38 22
20 40 24
20 47 19
21 22 28
21 36 14
21 43 37
21 46 36
21 49 34
22 24 30
22 26 26
22 27 14
22 28 32
22 32 25
23 24 17
23 34 36
23 45 38
24 30 26
24 40 12
25 29 14
25 35 12
25 47 27
26 35 38
26 46 32
27 30 13
27 35 22
27 38 32
27 44 27
27 48 12
28 30 32
28 33 34
28 34 28
28 35 15
28 46 32
29 32 35
29 35 29
30 31 27
30 35 37
30 38 26
30 40 15
30 46 20
30 48 26
30 49 23
31 33 33
31 37 39
31 39 10
31 42 14
31 49 20
32 36 33
32 45 27
32 48 17
33 35 25
33 44 12
34 35 10
34 44 15
34 47 12
35 36 20
35 44 25
36 38 39
36 39 16
36 44 27
37 40 32
37 43 31
37 47 14
38 41 33
39 41 11
39 47 23
39 49 14
40 48 30
40 49 32
41 49 10
42 49 19
43 48 22
44 49 11
45 49 23
46 47 10
46 49 29
47 49 17
48 49 32
