100 524
0 12 106
0 20 104
0 26 133
0 27 110
0 30 105
0 39 134
0 43 101
0 44 138
0 71 141
0 79 127
0 1 148
0 2 144
0 3 127
0 4 143
0 6 144
0 7 132
0 9 144
0 14 104
0 15 147
0 19 108
0 75 146
1 5 119
1 10 148
1 17 142
1 39 146
1 52 133
1 66 149
1 74 127
1 84 132
1 92 118
1 99 131
2 18 140
2 51 111
2 85 107
2 92 116
2 93 146
2 97 132
3 5 107
3 10 130
3 20 120
3 24 143
3 36 139
3 48 103
3 54 149
3 62 123
4 13 126
4 23 119
4 28 121
4 33 116
4 40 133
4 49 135
4 52 124
4 58 103
4 62 147
4 67 130
4 70 131
4 92 118
5 8 100
5 26 144
5 27 121
5 33 145
5 49 105
5 51 131
5 62 124
5 78 125
5 80 126
5 94 111
6 8 108
6 18 128
6 20 121
6 29 131
6 32 148
6 39 138
6 41 117
6 47 131
6 51 148
6 59 124
6 64 142
6 71 104
6 82 140
6 94 138
7 12 138
7 23 135
7 25 113
7 27 110
7 34 102
7 36 109
7 37 103
7 41 124
7 67 145
7 86 121
7 87 141
8 35 134
8 39 115
8 48 124
8 51 140
8 53 139
8 55 101
8 58 131
8 67 105
8 82 132
8 89 138
8 92 123
8 95 135
9 36 124
9 52 143
9 59 123
9 69 149
9 86 124
10 11 111
10 27 116
10 41 132
10 42 106
10 46 118
10 53 130
10 61 128
10 69 149
10 82 146
10 93 109
10 94 109
11 27 131
11 35 126
11 45 136
11 76 111
11 78 128
11 79 123
11 80 143
11 95 126
12 17 118
12 28 124
12 29 110
12 31 112
12 33 132
12 36 107
12 49 119
13 17 113
13 30 105
13 40 139
13 41 110
13 59 110
13 62 132
13 63 136
13 69 133
13 81 146
13 93 128
14 16 144
14 31 116
14 40 103
14 47 124
14 86 144
15 22 117
15 41 118
15 83 104
15 89 110
16 33 145
16 41 113
16 46 141
16 59 118
16 72 138
16 80 149
16 98 115
17 18 140
17 20 136
17 22 117
17 41 136
17 49 129
17 68 101
17 70 144
17 73 119
17 78 139
17 81 149
17 92 148
18 29 118
18 33 121
18 51 142
18 54 145
18 57 122
18 61 125
18 63 108
18 64 133
18 72 105
18 73 124
18 79 117
18 81 127
18 86 148
18 92 101
18 98 120
18 99 134
19 20 100
19 26 113
19 28 125
19 35 117
19 38 126
19 40 144
19 49 141
19 60 109
19 76 145
19 93 110
20 21 107
20 39 104
20 44 125
20 49 119
20 56 128
20 73 142
20 96 132
21 36 131
21 59 137
21 63 133
21 88 131
22 32 144
22 34 142
22 41 147
22 52 139
22 54 140
22 55 134
22 82 115
22 83 144
23 29 140
23 32 127
23 36 103
23 42 142
23 54 144
23 64 143
23 85 145
23 95 120
23 96 105
24 28 122
24 33 116
24 43 118
24 50 132
24 52 124
24 60 145
24 66 100
24 70 114
24 72 102
25 31 125
25 39 130
25 53 110
25 54 128
25 68 117
25 94 121
26 46 104
26 49 138
26 59 110
26 62 140
26 66 102
26 73 103
26 83 146
26 91 119
26 92 133
26 98 102
27 31 110
27 45 144
27 71 132
27 76 127
27 87 136
27 92 124
28 38 125
28 44 116
28 61 104
28 66 117
28 68 101
28 73 140
28 76 117
29 42 128
29 50 143
29 63 133
29 67 121
29 70 146
29 81 143
29 89 110
29 92 118
30 47 135
30 60 107
30 65 130
30 66 129
30 83 102
30 90 126
30 91 136
30 97 138
31 43 108
31 46 122
31 52 100
31 82 115
32 33 117
32 51 106
32 53 107
32 81 135
32 82 100
32 86 132
32 98 104
33 42 118
33 43 121
33 50 132
33 51 120
33 54 140
33 56 149
