1000 49788
0 44 530
0 55 602
0 78 608
0 79 701
0 89 917
0 93 990
0 96 671
0 101 784
0 118 709
0 125 540
0 127 565
0 158 562
0 171 818
0 178 875
0 196 643
0 214 671
0 233 700
0 264 998
0 265 889
0 280 675
0 285 867
0 297 959
0 320 613
0 323 940
0 324 603
0 331 818
0 338 786
0 350 700
0 355 802
0 381 707
0 389 564
0 397 957
0 406 886
0 408 977
0 418 992
0 428 766
0 448 750
0 458 634
0 463 568
0 464 807
0 490 962
0 531 893
0 540 591
0 545 759
0 569 573
0 603 637
0 611 928
0 635 634
0 641 513
0 679 683
0 690 858
0 693 831
0 694 866
0 697 614
0 718 664
0 726 729
0 734 522
0 740 896
0 753 715
0 760 728
0 779 577
0 804 884
0 806 987
0 808 823
0 811 891
0 818 892
0 823 801
0 827 682
0 829 874
0 849 760
0 853 787
0 855 677
0 860 638
0 883 594
0 901 583
0 906 725
0 936 752
0 960 990
0 962 545
0 978 892
0 979 681
0 980 536
0 982 886
0 1 912
0 2 609
0 4 683
0 5 884
0 7 526
0 8 585
0 9 527
0 15 864
0 17 555
0 23 552
1 3 932
1 14 637
1 27 502
1 41 720
1 42 789
1 43 614
1 47 787
1 50 862
1 60 577
1 67 700
1 78 633
1 84 639
1 102 869
1 107 774
1 108 827
1 123 547
1 124 843
1 126 999
1 134 924
1 145 816
1 168 913
1 185 599
1 186 882
1 189 674
1 190 946
1 191 814
1 198 917
1 201 708
1 204 963
1 207 583
1 212 557
1 221 811
1 236 768
1 251 809
1 265 960
1 279 788
1 280 965
1 281 889
1 286 668
1 291 649
1 327 763
1 343 554
1 359 535
1 364 807
1 374 749
1 378 987
1 381 951
1 382 510
1 395 877
1 398 925
1 410 601
1 435 688
1 439 832
1 458 960
1 462 728
1 463 809
1 469 617
1 472 835
1 477 890
1 482 719
1 495 593
1 527 837
1 528 704
1 536 899
1 538 849
1 541 888
1 563 844
1 569 798
1 573 918
1 582 871
1 583 696
1 584 941
1 587 920
1 595 846
1 600 543
1 602 519
1 603 619
1 608 644
1 616 649
1 618 679
1 621 505
1 634 874
1 640 889
1 641 555
1 647 526
1 651 924
1 668 702
1 677 840
1 691 699
1 692 991
1 697 651
1 713 934
1 748 521
1 750 749
1 758 793
1 784 542
1 796 939
1 813 956
