-1,100,1,-1
-1,100,2,-1
-1,100,3,-1
-1,100,4,-1
-1,100,5,-1
-1,100,6,-1
-1,100,7,-1
-1,100,8,-1
-1,100,9,-1
-1,100,10,-1
-1,100,11,-1
-1,100,12,-1
-1,100,13,-1
-1,100,14,-1
-1,100,15,-1
-1,100,16,-1
-1,100,17,-1
-1,100,18,-1
-1,100,19,-1
-1,100,20,-1
-1,100,21,-1
-1,100,22,-1
-1,100,23,-1
-1,100,24,-1
-1,100,25,-1
-1,100,26,-1
-1,100,27,-1
-1,100,28,-1
-1,100,29,-1
-1,100,30,-1
-1,100,31,-1
-1,100,32,-1
-1,100,33,-1
-1,100,34,-1
-1,100,35,-1
-1,100,36,-1
-1,100,37,-1
-1,100,38,-1
-1,100,39,-1
-1,100,40,-1
-1,100,41,-1
-1,100,42,-1
-1,100,43,-1
-1,100,44,-1
-1,100,45,-1
-1,100,46,-1
-1,100,47,-1
-1,100,48,-1
-1,100,49,-1
-1,100,50,-1
1,63,15,74
14,47,17,73
4,17,3,74
14,19,3,73
37,35,4,73
42,99,3,73
20,51,18,76
25,20,47,73
10,41,22,76
28,69,48,74
8,66,28,76
28,47,28,73
33,39,34,76
20,71,45,73
40,12,26,73
4,90,49,73
40,25,25,74
35,34,8,74
47,17,47,73
17,119,13,76
4,15,5,75
