5000 21528
0 356 577
0 2478 122
0 3138 929
0 3651 496
1 987 217
1 1024 359
1 2251 449
1 3543 17
1 3882 222
1 4199 21
2 1082 168
2 1535 573
2 2044 639
2 2966 40
2 3015 341
2 4898 859
3 842 51
3 1017 715
3 1172 628
3 1225 281
3 1250 937
3 2296 642
3 2615 166
3 2825 260
3 2839 392
3 3486 601
4 1054 92
4 2260 440
4 2657 16
4 2942 710
4 3502 425
4 3800 109
4 4033 65
4 4148 718
4 4154 719
4 4185 304
5 247 572
5 970 460
5 1708 438
5 2390 750
5 3275 897
5 3508 904
5 3963 654
5 4154 370
5 4927 249
6 58 535
6 652 626
6 2506 12
6 2523 66
6 3335 832
6 3501 721
6 3791 386
6 4993 500
7 153 289
7 1777 146
7 1922 83
7 2937 723
7 4800 615
8 2251 702
8 2643 906
8 3528 622
8 3914 387
8 3938 902
8 4410 697
9 579 967
9 1437 612
9 1634 479
9 2490 877
9 4511 416
10 95 243
10 1125 125
10 1290 475
10 1699 296
10 2734 157
10 2852 243
10 3902 308
10 4411 568
10 4437 965
10 4708 903
11 504 639
11 650 624
11 788 371
11 2433 691
11 3639 523
11 4095 246
11 4214 274
11 4407 476
12 1195 251
12 2090 810
12 2138 167
12 2288 248
12 3120 18
12 3397 827
12 3403 905
12 3662 843
12 3708 451
12 3742 293
12 3818 439
12 4042 499
12 4333 354
12 4949 773
13 272 789
13 381 891
13 473 495
13 591 243
13 2412 717
13 2535 586
13 3720 635
13 4116 549
13 4795 552
14 1163 362
14 1233 310
14 1484 381
14 1501 823
14 1990 815
14 3755 319
14 4203 951
14 4571 78
14 4852 586
15 1085 336
15 1167 2
15 2112 761
15 2693 807
15 3263 704
15 3862 823
15 3979 748
15 4667 943
15 4931 591
16 2068 671
16 4732 710
17 1977 817
17 2691 562
17 2765 900
17 3231 945
17 3642 207
18 1166 802
18 1448 165
18 1824 172
18 3758 767
18 4424 696
19 628 407
19 1985 498
19 2664 75
19 3680 235
20 448 637
20 716 892
20 1362 556
20 2407 204
20 2707 860
20 4249 69
20 4617 197
21 311 341
21 527 495
21 1277 542
21 1998 246
21 3609 750
21 4201 320
21 4639 502
21 4729 150
21 4802 439
22 3031 384
22 3229 112
22 3948 129
22 4269 993
22 4439 24
23 292 491
23 395 381
23 397 473
23 1136 632
23 1200 172
23 2307 846
23 2673 511
23 3090 728
23 3536 50
23 3875 466
23 3981 147
23 4733 828
23 4818 156
24 267 647
24 460 83
24 832 797
24 1153 712
24 1812 118
24 2182 520
24 2347 951
24 2537 266
24 2870 482
24 2910 401
24 2916 654
24 3004 519
24 3331 234
24 4104 935
24 4122 208
25 357 480
25 452 261
25 492 478
25 900 466
25 3602 923
25 3608 674
25 3938 479
26 80 952
26 1023 841
26 1093 63
26 1597 30
26 2375 243
26 2748 692
26 2932 175
26 4141 529
