1000 5072
0 114 -74
0 273 83
0 359 27
0 389 20
0 812 79
0 981 52
0 987 42
1 84 -39
1 192 18
1 268 59
1 412 31
1 461 -11
1 558 55
1 800 42
1 904 -79
1 972 6
1 985 -85
2 182 -29
2 190 10
2 218 -49
2 543 -34
2 574 13
2 722 -46
2 838 33
2 852 18
2 875 92
3 112 -93
3 285 -85
3 411 13
3 424 56
3 470 -77
3 491 -3
3 610 -63
3 643 -65
3 671 -9
3 732 -95
3 847 13
3 909 -31
4 20 -14
4 77 85
4 226 -1
4 238 59
4 276 85
4 496 -65
5 23 -78
5 225 90
5 266 41
5 323 21
5 497 22
5 500 44
5 517 -69
5 574 74
5 590 46
5 637 76
5 643 57
5 687 67
5 749 23
5 830 -91
5 915 11
5 938 -91
5 946 -8
6 51 80
6 56 47
6 90 -83
6 129 -35
6 187 94
6 489 -85
6 749 -31
6 794 27
6 838 -41
6 887 17
6 987 43
7 104 11
7 191 94
7 195 -52
7 198 84
7 332 59
7 360 59
7 378 -69
7 530 96
7 567 -7
7 625 -50
7 761 -5
7 971 -21
8 34 -14
8 218 59
8 290 -71
8 352 39
8 389 29
8 441 -23
8 589 -36
8 622 -74
8 980 62
8 997 8
8 999 20
9 38 10
9 306 -52
9 344 88
9 380 -32
9 464 -73
9 524 79
9 611 13
9 771 -95
9 823 6
9 826 40
9 879 80
9 980 -57
10 264 -76
10 350 -94
10 429 -48
10 733 59
10 896 27
11 22 88
11 37 26
11 38 -84
11 66 -79
11 102 40
11 106 30
11 255 -16
11 568 40
11 614 -95
11 684 -2
11 785 59
11 830 -93
11 909 -5
11 975 -72
12 32 -83
12 158 -94
12 363 29
12 383 42
12 482 -91
12 499 90
12 549 -49
12 620 51
12 757 -80
13 24 4
13 107 34
13 148 -37
13 197 -5
13 204 -14
13 277 -91
13 302 -85
13 371 -99
13 801 -84
13 930 17
13 995 16
14 254 -59
14 326 63
14 362 -62
14 410 11
14 481 87
14 661 52
14 903 98
14 950 -75
14 957 70
14 976 -90
15 435 80
15 531 -32
15 541 19
15 549 62
15 581 1
15 622 -15
15 722 32
15 774 68
15 780 64
15 835 -25
15 849 82
15 961 75
15 985 -85
16 24 -79
16 44 -38
16 62 52
16 169 -34
16 303 19
16 546 6
16 572 -89
16 771 -23
16 840 -44
16 884 63
17 165 45
17 300 64
17 340 -96
17 426 53
17 436 28
17 508 -23
17 764 89
17 908 18
18 62 -45
18 171 49
18 272 17
18 310 14
18 384 31
18 414 -68
18 462 -60
18 503 -45
18 539 62
18 552 74
18 698 41
18 884 -92
18 967 -23
19 259 -43
19 364 82
19 389 -44
19 448 -74
19 494 20
19 544 51
19 636 16
19 697 -67
19 727 -93
19 823 90
19 849 79
19 912 -61
20 178 91
20 343 94
20 489 -81
20 592 4
20 757 -47
20 802 -99
20 818 -67
20 851 -21
20 887 69
20 893 46
21 152 -53
21 153 -41
21 213 -44
21 215 -17
21 232 -54
21 308 45
21 384 67
21 438 -77
21 588 10
21 620 98
21 671 37
21 881 -44
22 33 50
22 121 20
22 128 -24
22 192 25
22 265 57
22 312 78
22 482 -8
22 519 -57
22 538 29
22 653 -78
22 917 28
22 934 45
23 37 -14
23 123 -49
23 468 98
23 472 -76
23 486 -71
23 503 49
23 690 -72
23 934 -46
23 967 21
24 187 29
24 331 88
24 489 -13
24 623 -55
24 634 -79
24 809 29
25 69 -32
25 282 -54
25 316 37
25 456 98
25 506 -29
25 544 -47
25 583 6
25 687 63
25 716 63
25 932 -11
25 956 36
26 86 92
26 422 0
26 534 -74
26 675 60
26 745 -93
26 830 -24
27 80 26
27 81 -72
27 205 5
27 386 -13
27 483 -79
27 525 -19
27 674 98
27 695 -95
27 883 18
28 131 -56
28 235 -12
28 431 7
28 506 5
28 563 65
28 890 95
28 928 -46
29 55 27
29 145 -96
29 152 -95
29 159 -96
29 286 62
29 541 -69
29 588 -4
29 666 56
29 688 71
